index,thickness,intensity
0,1.9815923,122.29364
1,1.8991089,110.42258
2,2.9226375,199.34995
3,2.1333532,112.10701
4,1.7678494,93.585724
5,3.1929326,235.84308
6,3.7087522,244.28416
7,1.8867797,132.33835
8,2.191466,145.94379
9,2.7183728,176.33191
10,1.891876,106.21324
11,1.9543681,111.70824
12,1.9789956,123.79248
13,1.9031088,97.73586
14,1.8160765,120.41457
15,3.5494547,235.62715
16,3.6929061,242.1257
17,2.0245132,131.51956
18,1.6029981,105.06273
19,2.6742532,177.44034
20,1.3840058,74.17894
21,2.2560124,133.69568
22,2.4706864,144.09001
23,1.7974629,115.74285
24,1.6576396,96.07074
25,1.8881409,95.51711
26,3.1160061,189.84732
27,3.0963871,196.2313
28,1.2937996,76.834625
29,2.4383776,150.7351
30,2.3491588,134.84933
31,2.774629,184.7836
32,3.2295237,214.4443
33,2.4137359,157.7356
34,2.5642352,168.0332
35,3.4111543,226.94278
36,2.5567555,139.54799
37,1.989081,104.6366
38,3.1324906,200.00285
39,1.4074525,73.17043
40,2.5996997,179.44397
41,1.4616551,88.06517
42,1.558689,101.84119
43,2.9171925,217.98253
44,3.103705,221.05708
45,3.6453285,226.74722
46,2.1260567,112.73244
47,1.9067355,107.64026
48,2.3301597,150.32419
49,4.5930915,251.83357
50,3.000422,194.75426
51,2.9535809,187.00078
52,2.00244,146.18274
53,1.9637017,116.63466
54,1.4278774,85.34034
55,1.8443711,115.625946
56,3.2009819,214.15504
57,3.2610044,231.92819
58,1.7232397,108.51474
59,2.1817493,131.09647
60,4.055968,249.88339
61,1.3827493,73.69107
62,2.76212,161.90823
63,2.5971298,147.16754
64,2.2262087,109.97515
65,2.029994,126.565994
66,1.7422602,96.92302
67,2.580242,158.89926
68,3.387442,230.50085
69,3.1052804,202.79538
70,1.8963335,100.5719
71,3.831057,242.57768
72,1.8647568,77.68574
73,2.6914685,161.79227
74,2.2334666,141.11667
75,2.1862216,145.55771
76,1.5807787,75.81514
77,2.562769,148.06897
78,1.8776375,107.92581
79,1.0561713,71.8811
80,3.3600698,220.98088
81,1.6300983,78.19382
82,3.6351314,239.55714
83,1.8749305,119.91577
84,2.1037774,142.797
85,1.6752627,90.74465
86,1.4039046,81.68787
87,3.077517,190.81555
88,2.9147584,211.7058
89,1.87175,106.5515
90,2.597565,180.94446
91,2.5736532,172.27728
92,2.8336504,203.03355
93,2.8886826,194.75774
94,2.3732686,113.9806
95,3.4910274,229.93826
96,2.6240728,169.16959
97,2.107266,101.874695
98,2.4786687,146.0537
99,1.6250619,84.84319
100,2.5772781,126.377
101,2.9778512,181.4473
102,2.2949953,104.10316
103,2.0828712,119.024536
104,1.6903764,87.053345
105,2.3883631,95.61705
106,2.9640574,190.30438
107,3.3574026,229.20448
108,1.8875268,104.284485
109,2.2061248,145.53171
110,1.655761,77.85329
111,1.7587041,100.94917
112,2.3574328,103.955666
113,1.8166368,96.027985
114,2.9543576,207.8242
115,1.3613938,80.029175
116,1.8696545,82.73789
117,3.5727754,243.14987
118,2.0961697,111.86075
119,3.0612457,224.39728
120,2.6330135,189.0597
121,2.2231815,142.42937
122,3.825421,241.00009
123,2.1706052,110.84923
124,1.7228374,100.14752
125,2.6939058,173.99023
126,2.5786252,195.87251
127,3.1553211,183.07928
128,2.273229,165.07805
129,2.0877185,126.87099
130,1.3015097,96.579666
131,2.5523415,144.00586
132,2.083271,100.09524
133,2.5395775,160.33607
134,2.8282838,171.90152
135,2.5776196,174.47809
136,3.23438,224.09279
137,2.717122,186.27985
138,2.3761363,166.32564
139,2.4177039,124.827866
140,1.7117032,102.554306
141,2.4364989,138.49023
142,3.350312,222.07631
143,2.9586463,180.22415
144,2.3467941,125.65762
145,1.9261311,105.11124
146,1.80043,101.64926
147,2.7242408,143.04807
148,3.7134933,191.11824
149,3.1676323,228.13374
150,2.9867485,191.35683
151,3.5011957,242.45045
152,3.1140208,234.2667
153,2.2864594,101.38491
154,2.5152466,142.23795
155,2.5863118,159.08978
156,1.9848902,123.87027
157,2.4548984,167.05875
158,2.2223477,138.23798
159,2.416582,159.52193
160,2.5731153,130.16626
161,3.111836,212.22453
162,1.8247247,132.94315
163,1.9028289,103.409904
164,3.5957923,236.26794
165,2.9022532,207.57938
166,2.8329973,176.31657
167,2.8329308,202.5113
168,2.0291812,101.43065
169,3.168193,175.70961
170,1.6433132,106.64249
171,1.8656776,88.508026
172,2.675931,179.20186
173,3.0636742,221.05894
174,1.6630722,77.642235
175,3.5031543,237.77951
176,2.3702674,107.55376
177,2.1698413,117.365005
178,4.307219,246.47266
179,2.0895865,157.20007
180,2.9031923,181.04768
181,2.2275314,108.52201
182,2.4275067,166.22763
183,2.2092924,133.61661
184,3.2586048,207.41495
185,1.7687294,106.84189
186,1.5806754,88.86362
187,5.706656,254.78244
188,1.5360389,90.51657
189,1.8457649,103.081184
190,2.7045364,166.71873
191,3.8670228,248.86766
192,2.3883271,112.35666
193,2.794624,190.65202
194,2.1504087,147.78033
195,1.9729363,113.63864
196,3.8772016,245.28923
197,1.7739054,86.73222
198,2.5339706,164.1826
199,2.7366433,188.52649
200,2.177807,132.79936
201,3.5043921,248.33257
202,1.6410807,112.56471
203,2.7577522,210.85423
204,2.5362792,185.92607
205,3.7366467,233.87346
206,2.4419458,107.2852
207,3.0645301,219.79384
208,1.6509113,89.25136
209,3.0379694,176.78055
210,2.8283617,168.3371
211,2.7057467,162.68095
212,2.4002774,174.20709
213,3.3685153,212.30693
214,2.3757327,164.05444
215,3.4260106,242.06816
216,1.8439103,88.33028
217,2.190982,109.06903
218,2.4269936,154.90096
219,1.7771914,95.20288
220,1.8668948,87.05701
221,2.5086803,133.54779
222,2.1764493,83.186714
223,1.9859936,116.984985
224,1.4556379,127.783554
225,1.9773543,130.77455
226,2.8941665,217.48697
227,1.5188972,73.908195
228,2.0087166,144.9609
229,2.6377916,188.052
230,2.6593564,155.4123
231,2.2416058,120.59698
232,2.183339,107.647964
233,3.377334,214.19353
234,2.4723604,191.86461
235,2.028052,113.14484
236,2.0805943,117.63815
237,2.9199595,180.81534
238,4.0321817,245.73326
239,1.276549,78.92064
240,2.5231264,169.11232
241,2.2308288,115.2446
242,3.1429012,200.23235
243,2.8894572,194.19717
244,2.8031974,209.23685
245,1.977298,111.74199
246,3.8532035,231.7701
247,2.183157,135.01248
248,2.3590937,175.54568
249,2.3707485,133.98322
250,2.8632436,222.82149
251,1.5895686,141.76144
252,1.7918928,87.0918
253,1.8845655,84.06959
254,1.3951688,70.55307
255,3.5078132,233.06248
256,2.6642544,205.28839
257,3.5196338,233.74509
258,2.691914,169.01018
259,3.2659917,228.53447
260,3.1326787,194.91281
261,2.534614,161.94862
262,2.9258595,199.33134
263,2.169397,153.22623
264,2.766747,193.65134
265,2.0571284,100.56105
266,3.8571498,243.81662
267,2.6210332,161.80515
268,2.6417565,154.35606
269,2.780874,176.2792
270,2.8710456,148.07425
271,2.1290288,130.15994
272,2.3663328,139.75748
273,2.519112,159.60889
274,3.5372477,235.26427
275,1.977871,138.50974
276,1.9004408,94.22538
277,2.3790584,142.73694
278,1.6197965,128.87918
279,1.6952236,112.38031
280,3.196537,232.3672
281,2.063371,124.00921
282,2.512361,138.04688
283,1.8363351,108.2778
284,1.728756,97.148056
285,2.1702983,110.9514
286,2.9019482,152.6134
287,3.4270816,222.43506
288,2.2598422,147.16866
289,2.8227003,166.46167
290,1.7037121,100.939865
291,2.6054,195.51686
292,2.779587,219.66934
293,3.5276153,222.42366
294,1.5162377,115.63937
295,1.503001,80.17028
296,2.4934735,183.95595
297,1.4924842,96.43392
298,2.2047422,140.62622
299,2.0835528,110.7036
300,2.0572698,148.6131
301,2.200193,143.32727
302,2.8366566,168.11484
303,2.6368544,185.88216
304,1.645787,88.212166
305,1.9398348,95.98332
306,4.355977,251.0217
307,1.5724041,93.26853
308,1.8233495,123.88414
309,2.3926997,148.66301
310,1.6450853,110.48404
311,3.1202025,228.53549
312,2.563995,196.27635
313,1.8268173,89.45668
314,1.787484,104.79456
315,2.3949597,115.91508
316,2.5670972,147.97263
317,3.9038405,243.65285
318,2.146637,126.162544
319,2.6358998,157.74448
320,2.123421,123.25466
321,2.0980465,148.7932
322,2.1238844,123.40507
323,2.724673,193.25478
