index,intensity,thickness
0,122.29364,1.9815923
1,110.42258,1.8991089
2,93.585724,1.7678494
3,244.28416,3.7087522
4,145.94379,2.191466
5,176.33191,2.7183728
6,106.21324,1.891876
7,111.70824,1.9543681
8,97.73586,1.9031088
9,242.1257,3.6929061
10,105.06273,1.6029981
11,74.17894,1.3840058
12,144.09001,2.4706864
13,115.74285,1.7974629
14,96.07074,1.6576396
15,189.84732,3.1160061
16,196.2313,3.0963871
17,76.834625,1.2937996
18,157.7356,2.4137359
19,168.0332,2.5642352
20,104.6366,1.989081
21,73.17043,1.4074525
22,179.44397,2.5996997
23,88.06517,1.4616551
24,101.84119,1.558689
25,217.98253,2.9171925
26,226.74722,3.6453285
27,112.73244,2.1260567
28,107.64026,1.9067355
29,251.83357,4.5930915
30,146.18274,2.00244
31,85.34034,1.4278774
32,214.15504,3.2009819
33,108.51474,1.7232397
34,131.09647,2.1817493
35,249.88339,4.055968
36,73.69107,1.3827493
37,161.90823,2.76212
38,126.565994,2.029994
39,96.92302,1.7422602
40,158.89926,2.580242
41,230.50085,3.387442
42,242.57768,3.831057
43,77.68574,1.8647568
44,161.79227,2.6914685
45,145.55771,2.1862216
46,75.81514,1.5807787
47,71.8811,1.0561713
48,220.98088,3.3600698
49,78.19382,1.6300983
50,239.55714,3.6351314
51,119.91577,1.8749305
52,90.74465,1.6752627
53,81.68787,1.4039046
54,211.7058,2.9147584
55,106.5515,1.87175
56,180.94446,2.597565
57,203.03355,2.8336504
58,194.75774,2.8886826
59,229.93826,3.4910274
60,146.0537,2.4786687
61,84.84319,1.6250619
62,126.377,2.5772781
63,181.4473,2.9778512
64,104.10316,2.2949953
65,87.053345,1.6903764
66,229.20448,3.3574026
67,145.53171,2.2061248
68,96.027985,1.8166368
69,80.029175,1.3613938
70,82.73789,1.8696545
71,111.86075,2.0961697
72,224.39728,3.0612457
73,189.0597,2.6330135
74,142.42937,2.2231815
75,241.00009,3.825421
76,100.14752,1.7228374
77,173.99023,2.6939058
78,195.87251,2.5786252
79,183.07928,3.1553211
80,100.09524,2.083271
81,160.33607,2.5395775
82,171.90152,2.8282838
83,224.09279,3.23438
84,186.27985,2.717122
85,180.22415,2.9586463
86,101.64926,1.80043
87,143.04807,2.7242408
88,191.11824,3.7134933
89,228.13374,3.1676323
90,191.35683,2.9867485
91,101.38491,2.2864594
92,142.23795,2.5152466
93,159.08978,2.5863118
94,123.87027,1.9848902
95,167.05875,2.4548984
96,138.23798,2.2223477
97,130.16626,2.5731153
98,212.22453,3.111836
99,132.94315,1.8247247
100,202.5113,2.8329308
101,175.70961,3.168193
102,88.508026,1.8656776
103,179.20186,2.675931
104,117.365005,2.1698413
105,166.22763,2.4275067
106,103.081184,1.8457649
107,166.71873,2.7045364
108,248.86766,3.8670228
109,190.65202,2.794624
110,147.78033,2.1504087
111,113.63864,1.9729363
112,245.28923,3.8772016
113,86.73222,1.7739054
114,164.1826,2.5339706
115,188.52649,2.7366433
116,132.79936,2.177807
117,233.87346,3.7366467
118,107.2852,2.4419458
119,89.25136,1.6509113
120,162.68095,2.7057467
121,164.05444,2.3757327
122,133.54779,2.5086803
123,83.186714,2.1764493
124,116.984985,1.9859936
125,217.48697,2.8941665
126,73.908195,1.5188972
127,144.9609,2.0087166
128,188.052,2.6377916
129,155.4123,2.6593564
130,120.59698,2.2416058
131,214.19353,3.377334
132,191.86461,2.4723604
133,113.14484,2.028052
134,245.73326,4.0321817
135,78.92064,1.276549
136,115.2446,2.2308288
137,200.23235,3.1429012
