index,thickness,intensity
0,3.1303804,221.00366
1,3.2460504,218.29303
2,1.9208415,122.986145
3,2.931373,178.46547
4,2.5685527,181.46313
5,2.2869935,113.98138
6,1.3617898,99.8608
7,1.511761,100.43509
8,1.8629743,92.34433
9,3.197357,192.20195
10,2.6195,182.47812
11,2.8828785,157.44937
12,3.1886241,202.56729
13,3.6765056,236.09424
14,1.614528,98.517296
15,2.972495,197.25616
16,1.7289598,163.64172
17,2.086523,123.86892
18,2.3538377,150.40866
19,2.6042554,160.73047
20,3.0878744,228.73122
21,1.9417155,164.17813
22,2.6968317,134.86417
23,3.1696234,230.7771
24,2.658492,156.01706
25,2.8912923,175.183
26,2.8887827,206.71626
27,2.034276,130.71365
28,1.6191874,86.04598
29,1.5007865,100.27283
30,2.1798804,150.59346
31,1.420176,100.1521
32,3.3190556,233.94061
33,1.8169243,96.88595
34,2.5068412,144.8276
35,2.5047727,174.01552
36,1.2903929,98.75935
37,2.6227689,166.91989
38,3.2230814,212.85867
39,2.1892579,146.2303
40,2.7292957,160.10359
41,2.9763808,206.84204
42,2.2026436,103.77934
43,3.2903447,215.82921
44,2.7818897,191.94193
45,2.620593,192.10371
46,3.951106,246.7384
47,1.8874265,169.0206
48,2.546395,127.47075
49,2.4727,139.4061
50,2.2042813,155.68231
51,2.277621,109.392654
52,3.503205,238.07094
53,2.2686481,135.20247
54,2.0880847,119.24098
55,2.2399962,145.05121
56,1.8248883,101.354416
57,1.6062862,100.142654
58,2.6641462,133.94609
59,1.2362975,91.45824
60,2.2053218,135.17291
61,2.7303576,169.9896
62,3.003964,198.50569
63,2.7145445,183.12476
64,3.0122736,193.06898
65,1.9404143,111.23089
66,4.105999,244.11253
67,3.5715864,233.76392
68,2.4695082,137.12366
69,1.245497,89.51642
70,2.120832,128.38232
71,2.5519707,154.0737
72,2.476168,171.0137
73,2.3443544,139.68176
74,1.8451431,119.20845
75,1.683125,85.41834
76,2.7063215,174.54422
77,2.1642354,138.06757
78,3.3340003,230.52608
79,1.6576812,91.67784
80,1.3237785,80.26873
81,2.2138467,151.9798
82,3.688245,242.8148
83,1.8263289,106.8981
84,1.2431116,90.04645
85,3.2798047,209.02211
86,3.4839604,239.43748
87,1.5059189,92.84482
88,1.3778616,85.43431
89,2.4341738,130.91388
90,2.952672,212.12827
91,1.8764528,95.00043
92,2.2929206,128.56735
93,2.1943264,154.43253
94,2.8441725,175.13977
95,2.7607746,179.50024
96,3.5848007,221.99522
97,2.3860962,137.33391
98,3.5269227,227.33272
99,3.2175088,169.04115
100,1.3591679,97.53067
101,3.659521,212.09299
102,3.539214,233.47899
103,1.1334906,78.61314
104,2.2080858,149.33807
105,2.408833,131.53625
106,2.5207183,182.55618
107,2.7821648,196.5184
108,0.9446005,103.87283
109,1.2590353,103.28661
110,1.7250755,122.607254
111,2.6764827,136.04697
112,3.0267248,182.77045
113,2.0358033,125.888176
114,2.6538715,187.44446
115,2.4282742,125.90066
116,2.7041276,156.61955
117,2.2252424,110.82994
118,1.2206492,87.28693
119,3.3926651,209.7018
120,3.5841217,222.74377
121,2.8120925,197.59677
122,2.721457,152.85004
123,2.201668,135.00348
124,3.9658413,246.9304
125,2.6085525,159.06966
126,1.8376994,108.22709
127,1.684134,96.15866
128,1.9863572,120.93521
129,1.5955493,110.78224
130,3.6086798,220.5386
131,1.6721742,131.17136
132,2.3156717,147.34286
133,0.8595104,89.33256
134,2.2180026,152.87288
135,2.0229244,115.65073
136,2.717172,163.74646
137,3.4275792,209.30997
138,2.5947223,186.88495
139,3.7231343,235.69629
140,2.6544633,189.62343
141,2.3249009,161.40344
142,3.0637467,178.23671
143,1.9699278,153.90204
144,2.9818122,180.69293
145,1.6125777,127.908585
146,1.2233108,84.02974
147,2.731484,207.33147
148,2.4934983,158.05446
149,2.4249969,142.72118
150,1.8941014,145.0816
151,1.9322845,103.46382
152,1.3825611,76.67724
153,2.435568,157.21576
154,1.8763957,139.49184
155,1.8293992,105.68126
156,2.3069549,167.16939
157,2.2851446,160.1751
158,2.0797446,113.73758
159,1.8825228,124.58658
160,2.5159888,178.27722
161,2.597519,148.03741
162,2.0571163,139.94165
163,2.3280652,127.32541
164,3.0303817,203.55013
165,4.292578,252.39139
166,2.4838247,149.46562
167,2.1000729,129.50975
168,3.0059645,207.59404
169,1.9736338,128.89784
170,2.1055288,137.94023
171,2.2029157,120.41347
172,2.4154756,149.67232
173,2.7139144,169.98352
174,2.7676973,204.04488
175,2.4648728,142.61621
176,3.1786547,187.73923
177,2.4031153,143.89056
178,1.1316919,74.657
179,3.425591,237.48875
180,1.263188,85.17
181,2.388473,151.43262
182,2.1347625,154.1918
183,2.082748,114.331955
184,3.4124563,228.4262
185,1.6420995,109.033325
186,3.2069159,188.09045
187,1.0821412,85.707245
188,2.1365669,122.05298
189,3.097503,184.49188
190,1.9731843,122.432724
191,1.768353,103.988525
192,1.3377701,77.13637
193,2.4667323,162.42538
194,2.8845289,179.15222
195,1.716873,110.9944
196,2.1059184,115.10149
197,1.6465058,108.76355
198,3.1048641,221.14595
199,2.9327278,176.85556
200,1.9334108,106.17409
201,3.5033944,231.90024
202,3.1207502,218.40541
203,2.9657779,206.13155
204,3.2334476,222.90338
205,4.0083704,248.60849
206,2.4890811,155.97314
207,1.9952052,109.18297
208,2.109161,90.32374
209,2.0400743,127.96027
210,3.2725737,214.47453
211,1.9939132,103.35578
212,2.5626216,137.84521
213,1.6558194,112.98401
214,2.4366837,151.6396
215,2.8106983,186.60464
216,2.7510753,188.15466
217,1.7838054,115.655975
218,2.5783398,183.59851
219,3.2346768,225.9983
220,2.101919,127.54874
221,2.7961147,165.1301
222,3.1790218,229.2656
223,2.176239,139.96774
224,2.1295469,111.94003
225,3.1583896,199.65665
226,1.8749334,110.44768
227,1.8076978,88.86929
228,1.5881422,85.036766
229,4.2610617,251.38522
230,1.6565232,94.24405
231,2.9884005,206.51076
232,1.6872298,123.45878
233,2.077409,146.8404
234,2.773913,173.8416
235,2.2518773,131.48666
236,2.546803,172.81818
237,2.3613453,114.17784
238,1.7939587,143.26947
239,2.4414601,190.68373
240,2.499699,154.88554
241,3.83968,239.88373
242,3.54082,223.15744
243,2.6751366,168.53235
244,1.9030335,130.62527
245,2.206382,106.62314
246,3.822409,250.65794
247,2.6842008,202.88925
248,2.900808,178.38904
249,2.271793,154.56332
250,2.21884,117.33412
251,2.911577,163.9526
252,1.8387501,98.42938
253,2.2342792,159.37775
254,1.8625522,114.26195
255,2.3021133,122.758736
256,1.6362814,84.98472
257,1.8931156,126.70098
258,2.3333206,156.93658
259,1.5315995,96.17277
260,1.1727636,83.97824
261,3.8934145,242.48413
262,2.820686,185.40596
263,1.6452081,100.261
264,1.6215093,92.43747
265,3.4254963,220.37059
266,2.1186082,109.31442
267,2.5991518,183.96353
268,1.6821446,93.59551
269,1.8235593,141.78423
270,2.184492,127.59862
271,3.7925549,245.75668
272,2.0931544,106.41531
273,2.5537243,143.21477
274,3.8765042,246.59706
275,2.496214,161.31325
276,2.8974907,168.92758
277,2.9784348,177.3424
278,2.677782,186.04276
279,1.976823,107.19611
280,2.3429685,114.00186
281,2.025523,97.780426
282,1.7336965,101.22441
283,2.5610247,207.84668
284,2.529193,179.40237
285,1.5960398,93.32883
286,2.001561,104.620346
287,2.8588133,200.8702
288,2.0087745,138.41782
289,2.229605,140.48566
290,1.7692165,109.05742
291,3.1792872,201.11975
292,2.221608,121.57371
293,3.0735252,204.02011
294,2.5796294,174.61609
295,3.3182647,210.2924
296,1.937602,102.47209
297,3.066771,222.63779
298,1.9507929,130.42535
299,3.1019256,222.4271
300,2.946012,179.53792
301,2.1702085,158.94199
302,2.8392594,211.02666
303,2.636664,177.56398
304,2.1670592,147.23195
305,4.127899,248.61449
306,3.6750124,244.76991
307,2.1846275,138.2525
308,2.787547,164.10555
309,3.1688058,209.36697
310,3.0454407,178.11792
311,3.3516157,209.62872
312,3.0267658,193.42505
313,2.2588131,176.09796
314,1.5660973,86.72338
315,2.9166005,182.50928
316,2.368463,180.67134
317,1.52709,100.52498
318,1.8213743,110.48381
319,2.4776237,155.11365
320,2.0034647,103.5059
321,2.9183547,191.38823
322,2.7090683,163.66757
323,2.8700786,207.03392
324,2.7720656,187.56851
325,3.0898113,189.07452
326,1.9688338,131.18135
327,2.7531426,138.28741
328,1.1926022,104.804276
329,3.085356,227.11572
330,3.0052085,237.83862
331,2.9252858,173.39508
332,2.335994,137.61282
333,1.2878275,85.880646
334,2.4357703,134.14093
335,2.4063005,178.69907
336,4.14929,249.13733
337,2.7445817,174.27304
338,3.3502564,223.42973
339,2.7591422,199.19566
340,3.9360423,236.64554
341,2.6345866,147.76013
342,3.5218806,204.97452
343,3.0423295,209.40445
344,3.39076,229.66742
345,4.957304,254.35435
346,1.4632989,92.533966
347,2.6559339,151.40971
348,2.6501853,164.85071
349,1.5432857,92.17248
350,3.3367736,203.61853
351,1.6696526,119.69884
352,2.0161679,133.91998
353,2.255482,110.24706
354,1.8146809,112.15232
355,2.4253738,164.39908
356,2.9032018,211.18451
357,2.131114,112.0105
358,3.097727,193.34578
359,2.9840162,171.16907
360,2.2569013,113.28911
361,2.4194615,165.7247
362,1.890655,119.04651
363,3.1053667,199.80006
364,2.7424788,169.81339
365,2.806455,184.00827
366,1.9983685,162.82845
367,2.229085,108.290405
368,2.1200197,134.70515
369,3.0092554,190.30118
370,2.3226616,144.80696
371,3.0874245,203.44365
372,2.6128495,163.71951
373,3.758725,244.10463
374,2.4210172,153.5203
375,3.364806,222.17923
376,2.968696,182.72989
