index,thickness,intensity
0,2.519064,164.2109
1,2.1818578,113.15588
2,2.3640509,135.73012
3,2.598258,197.14467
4,1.2582008,76.0444
5,3.272001,216.56358
6,2.7228527,161.88498
7,2.9881399,181.52536
8,2.2928789,154.94835
9,2.6660526,152.54384
10,2.26225,162.05965
11,1.9209505,103.22093
12,2.1026068,100.039536
13,2.3933902,135.62404
14,2.879053,195.58743
15,4.6413164,252.76564
16,2.5090177,141.94891
17,1.9041402,110.95798
18,1.9877318,131.14734
19,3.3560102,232.62885
20,2.0846932,119.64553
21,2.6689327,190.55563
22,2.4326484,180.69624
23,2.490432,103.87494
24,2.827765,208.10468
25,2.8054447,130.38916
26,2.9547358,144.06406
27,2.6084113,191.74783
28,2.1453195,111.5641
29,1.397551,83.03764
30,3.039443,187.96753
31,2.022757,119.090546
32,4.1203413,241.4706
33,2.5045786,133.4713
34,1.2819762,101.94864
35,1.808431,135.0513
36,1.7257301,115.12471
37,1.8076575,137.49896
38,2.8977425,212.09879
39,2.6961794,232.76773
40,2.667866,173.4063
41,2.0609946,116.94037
42,2.029177,118.932274
43,2.6367006,172.06308
44,1.8584988,124.32878
45,2.7902668,183.89558
46,1.375572,103.40846
47,3.053368,219.98114
48,0.448457,72.22888
49,3.377523,198.52634
50,2.6248112,165.49243
51,4.2346807,251.64761
52,2.1437764,148.22412
53,2.7923462,169.06555
54,1.758654,100.59094
55,1.3661181,87.65034
56,1.8600311,135.94806
57,2.408199,180.7811
58,3.6819446,220.27975
59,2.0054517,139.99185
60,2.9171648,210.42543
61,1.8488955,124.31497
62,2.4226995,132.41776
63,1.6080611,97.15658
64,3.019437,202.77417
65,3.5521936,240.87506
66,2.2011824,151.10406
67,1.4339863,90.28112
68,1.3006816,83.234985
69,2.0864449,113.22926
70,2.5182922,100.47617
71,1.4504118,108.901474
72,2.0669684,106.89313
73,2.7095144,152.96075
74,2.6711254,151.53421
75,2.962677,180.27074
76,4.606196,250.36835
77,2.726188,156.95021
78,2.8594825,161.2376
79,2.069885,150.76675
80,2.7039256,182.47192
81,2.2567973,121.68501
82,1.9460964,100.57414
83,2.2281516,140.58765
84,3.3584912,208.56342
85,2.5284514,143.01993
86,2.5296812,178.72885
87,2.599869,179.42616
88,2.6942961,193.09015
89,1.8505715,103.51128
90,3.4964514,236.06331
91,3.054002,235.30421
92,2.8999195,193.00504
93,3.2734597,198.91075
94,1.9794782,121.39577
95,2.6124926,169.43091
96,3.3205934,207.06467
97,2.5786552,178.20914
98,2.2613559,146.61424
99,2.3599677,146.80605
100,2.1493807,132.871
101,2.8649118,211.01334
102,1.8988974,100.85118
103,2.509384,180.85089
104,3.0377266,219.60097
105,2.294504,172.99164
106,2.104834,143.08975
107,0.66524386,76.617516
108,2.470808,155.61249
109,2.2238445,92.77409
110,2.93986,159.65701
111,3.8035023,240.25235
112,2.5051613,146.2233
113,1.4882414,93.840836
114,2.0275683,107.22662
115,2.552292,180.4418
116,4.1204715,247.96886
117,2.4060729,141.62154
118,0.99490446,91.21406
119,1.9118345,120.5718
120,1.2361493,81.12044
121,1.5623368,104.37471
122,1.3550627,78.25865
123,2.1651282,130.14252
124,1.8934312,127.652084
125,3.1352224,182.56926
126,2.0786722,129.2856
127,2.5612485,151.25137
128,2.4119914,142.78506
129,2.1131341,165.76886
130,1.691874,92.18657
131,1.6784003,83.28409
132,2.4375606,155.88084
133,2.112032,136.27872
134,2.773708,192.85516
135,3.3811953,199.47215
136,3.3095498,212.24104
137,3.2864313,199.20616
138,3.525568,224.16116
139,3.0211053,200.89348
140,2.4990847,149.26692
141,2.2286906,128.70465
142,1.9351803,102.22452
143,3.48257,236.05342
144,4.096465,251.01123
145,2.975793,182.5494
146,2.4839697,122.51869
147,1.5989933,95.46038
148,1.4863224,102.96233
149,1.737522,103.31613
150,3.5284224,229.11179
151,2.3859382,152.19614
152,2.3124678,133.0235
153,2.833038,213.57239
154,1.4115137,87.98673
155,2.5823722,183.22095
156,1.9685619,141.79309
157,2.3379762,158.93248
158,2.6883824,144.77937
159,2.9691608,170.82056
160,2.2575786,137.78592
161,1.7524269,118.899185
162,2.533531,150.57611
163,1.8177024,99.83127
164,1.7424464,113.920044
165,1.7324363,110.26784
166,2.2726223,110.83532
167,2.0461092,106.3816
168,3.172181,211.4636
169,3.611054,226.31725
170,2.7470036,164.2651
171,2.420313,161.17398
172,1.8253506,100.062775
173,2.2953818,150.42369
174,4.178275,251.94101
175,2.6246943,196.94392
176,1.8181967,105.81225
177,2.0355208,131.02937
178,2.052388,150.09412
179,2.2447698,168.26358
180,2.7527921,196.03334
181,3.1992047,215.833
182,2.2665524,134.88908
183,3.4157748,228.84103
184,2.4634562,145.97424
185,4.160361,248.6802
186,2.5778205,150.47217
187,2.3846118,200.4661
188,1.8241038,116.30589
189,1.1938643,97.69809
190,2.357608,145.05167
191,2.2701235,139.98285
